Symbol,,
3MINDIA,.NS,3MINDIA.NS
ABB,.NS,ABB.NS
ACC,.NS,ACC.NS
AIAENG,.NS,AIAENG.NS
APLAPOLLO,.NS,APLAPOLLO.NS
AUBANK,.NS,AUBANK.NS
AARTIDRUGS,.NS,AARTIDRUGS.NS
AARTIIND,.NS,AARTIIND.NS
AAVAS,.NS,AAVAS.NS
ABBOTINDIA,.NS,ABBOTINDIA.NS
ADANIENT,.NS,ADANIENT.NS
ADANIGREEN,.NS,ADANIGREEN.NS
ADANIPORTS,.NS,ADANIPORTS.NS
ATGL,.NS,ATGL.NS
ADANITRANS,.NS,ADANITRANS.NS
ABCAPITAL,.NS,ABCAPITAL.NS
ABFRL,.NS,ABFRL.NS
ABSLAMC,.NS,ABSLAMC.NS
ADVENZYMES,.NS,ADVENZYMES.NS
AEGISCHEM,.NS,AEGISCHEM.NS
AFFLE,.NS,AFFLE.NS
AJANTPHARM,.NS,AJANTPHARM.NS
APLLTD,.NS,APLLTD.NS
ALKEM,.NS,ALKEM.NS
ALKYLAMINE,.NS,ALKYLAMINE.NS
ALLCARGO,.NS,ALLCARGO.NS
ALOKINDS,.NS,ALOKINDS.NS
AMARAJABAT,.NS,AMARAJABAT.NS
AMBER,.NS,AMBER.NS
AMBUJACEM,.NS,AMBUJACEM.NS
ANGELONE,.NS,ANGELONE.NS
ANURAS,.NS,ANURAS.NS
APOLLOHOSP,.NS,APOLLOHOSP.NS
APOLLOTYRE,.NS,APOLLOTYRE.NS
APTUS,.NS,APTUS.NS
ASAHIINDIA,.NS,ASAHIINDIA.NS
ASHOKLEY,.NS,ASHOKLEY.NS
ASIANPAINT,.NS,ASIANPAINT.NS
ASTERDM,.NS,ASTERDM.NS
ASTRAZEN,.NS,ASTRAZEN.NS
ASTRAL,.NS,ASTRAL.NS
ATUL,.NS,ATUL.NS
AUROPHARMA,.NS,AUROPHARMA.NS
AVANTIFEED,.NS,AVANTIFEED.NS
DMART,.NS,DMART.NS
AXISBANK,.NS,AXISBANK.NS
BASF,.NS,BASF.NS
BSE,.NS,BSE.NS
BAJAJ-AUTO,.NS,BAJAJ-AUTO.NS
BAJAJELEC,.NS,BAJAJELEC.NS
BAJFINANCE,.NS,BAJFINANCE.NS
BAJAJFINSV,.NS,BAJAJFINSV.NS
BAJAJHLDNG,.NS,BAJAJHLDNG.NS
BALAMINES,.NS,BALAMINES.NS
BALKRISIND,.NS,BALKRISIND.NS
BALRAMCHIN,.NS,BALRAMCHIN.NS
BANDHANBNK,.NS,BANDHANBNK.NS
BANKBARODA,.NS,BANKBARODA.NS
BANKINDIA,.NS,BANKINDIA.NS
MAHABANK,.NS,MAHABANK.NS
BATAINDIA,.NS,BATAINDIA.NS
BAYERCROP,.NS,BAYERCROP.NS
BERGEPAINT,.NS,BERGEPAINT.NS
BDL,.NS,BDL.NS
BEL,.NS,BEL.NS
BHARATFORG,.NS,BHARATFORG.NS
